10931188;skipped;,; ; P3  -  Medium ;7/12/2019;11/20/2019; Douglas,  Taylor ;Door;Hardware; ; Verizon  Wireless ; Verizon  Wireless  Plaza  Even  Week  3 ;Madison;WI
10957070;skipped;,; ; P3  -  Medium ;7/31/2019;11/20/2019; Douglas,  Taylor ;Glass; Store  Front ; ; Verizon  Wireless ; Verizon  Wireless  Plaza  Even  Week  3 ;Madison;WI
11035882;skipped;,; ; P5  -  Low ;10/6/2019;3/3/2020; Douglas,  Taylor ;Handyman; Fixture  Install ; ; Verizon  Wireless ; Greenfield  Odd  Week  1 ;Greenfield;WI
11037226;skipped;,; ; P5  -  Low ;10/7/2019;1/29/2020; Douglas,  Taylor ;Handyman; Cabinet  Repairs  Non-Laminate ; ; Verizon  Wireless ; Greenfield  Odd  Week  1 ;Greenfield;WI
10912670;skipped;,; ; P1.5  -  High ;6/28/2019;11/20/2019; Douglas,  Taylor ;Electrical;Repair; ; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
10912671;skipped;,; ; P3  -  Medium ;6/28/2019;11/20/2019; Douglas,  Taylor ;Electrical;Repair; ; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
10978408;skipped;,; ; P3  -  Medium ;8/20/2019;4/21/2020; Douglas,  Taylor ;Electrical;Repair; ; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
11035241;skipped;,; ; P4  -  Med-Low ;10/4/2019;10/5/2019; Douglas,  Taylor ;Handyman;Frames/Posters/Banners; ; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
11115783;skipped;,; ; P5  -  Low ;12/21/2019;5/5/2020; Douglas,  Taylor ;Handyman;Miscellaneous; ; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
11118336;skipped;,; ; P1.5  -  High ;12/27/2019;5/5/2020; Douglas,  Taylor ;Plumbing; Sewage  Odor ; ; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
11120860;skipped;,; ; P1.5  -  High ;12/31/2019;5/5/2020; Douglas,  Taylor ;Plumbing;Sink;Repair; Verizon  Wireless ; DeKalb  Even  Week  3 ;DeKalb;IL
10883273;skipped;,; ; P5  -  Low ;6/5/2019;11/13/2019; Douglas,  Taylor ;Handyman; Fixture  Repair  Non-Laminate ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
10883319;skipped;,; ; P4  -  Med-Low ;6/5/2019;11/13/2019; Douglas,  Taylor ;Painting;Showroom; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
10883325;skipped;,; ; P4  -  Med-Low ;6/5/2019;11/13/2019; Douglas,  Taylor ;Lock; Furniture  Lock ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11632463;skipped;,; ; P4  -  Med-Low ;9/14/2021;10/27/2021; Brueggen,  Josh ; National  Projects ; 2021  Fixture  cover  removals ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
10883326;skipped;,; ; P3  -  Medium ;6/5/2019;11/13/2019; Douglas,  Taylor ;Electrical;Repair; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11023721;skipped;,; ; P4  -  Med-Low ;9/26/2019;1/29/2020; Douglas,  Taylor ;Appliance;Refrigerator; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11023722;skipped;,; ; P5  -  Low ;9/26/2019;1/29/2020; Douglas,  Taylor ;Laminate; Display  Fixtures ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11044144;skipped;,; ; P5  -  Low ;10/13/2019;3/6/2020; Douglas,  Taylor ;Handyman;Miscellaneous; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11050591;skipped;,; ; P3  -  Medium ;10/19/2019;3/6/2020; Douglas,  Taylor ;Plumbing;Toilet; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11061663;skipped;,; ; P5  -  Low ;10/30/2019;3/18/2020; Douglas,  Taylor ;Handyman; PM  Program ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11091341;skipped;,; ; P1  -  High ;11/27/2019;3/13/2020; Douglas,  Taylor ; National  Projects ; BPK  Removal ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
10886045;skipped;,; ; P2  -  Med-High ;6/6/2019;11/20/2019; Douglas,  Taylor ;Plumbing; Clogged  Drain ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
10914935;skipped;,; ; P3  -  Medium ;6/30/2019;11/13/2019; Douglas,  Taylor ;Handyman; PM  Program ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
10992298;skipped;,; ; P4  -  Med-Low ;8/30/2019;1/29/2020; Douglas,  Taylor ;Handyman; PM  Program ; ; Verizon  Wireless ; Pioneer  Parkway  Even  Week  3 ;Peoria;IL
11684006;skipped;,; ; P3  -  Medium ;11/5/2021;11/8/2021; Bulloch,  Cheyenne ;Handyman; Fixture  Repair ; ; Verizon  Wireless  -  Cushman  &  Wakefield ; Bolingbrook  Week  1  Odd ;Bolingbrook;IL
11684008;skipped;,; ; P4  -  Med-Low ;11/5/2021;11/8/2021; Bulloch,  Cheyenne ;Painting;Showroom; ; Verizon  Wireless  -  Cushman  &  Wakefield ; Bolingbrook  Week  1  Odd ;Bolingbrook;IL
11675470;skipped;,; ; P4  -  Med-Low ;10/29/2021;11/15/2021; Bulloch,  Cheyenne ;Painting; Doors    Frames ; ; Verizon  Wireless  -  Cushman  &  Wakefield ; Bolingbrook  Week  1  Odd ;Bolingbrook;IL
11673628;skipped;,; ; P3  -  Medium ;10/27/2021;11/3/2021; Bulloch,  Cheyenne ;Handyman; Fixture  Repair ; ; Verizon  Wireless  -  Cushman  &  Wakefield ; Brickyard  Week  2  Odd ;Chicago;IL
11695744;skipped; Manager,  Store ;773-836-4401; P3  -  Medium ;11/18/2021;11/20/2021; Bulloch,  Cheyenne ;Handyman; Fixture  Repair ; ; Verizon  Wireless  -  Cushman  &  Wakefield ; Brickyard  Week  2  Odd ;Chicago;IL
11694671;skipped; Manager,  Store ;773-289-5425; P4  -  Med-Low ;11/17/2021;11/19/2021; Bulloch,  Cheyenne ;Handyman;Miscellaneous; ; Verizon  Wireless  -  Cushman  &  Wakefield ; WICKER  PARK  Week  4  Even ;Chicago;IL
